Month,Borough,Equipment Type,Equipment Code,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
2/1/21,Manhattan,Elevator,EL315,1,1,0,0,43,1,112,112,1,112,112,0.990873016,665.8666667,672,BROOKLYNBRIDGE-CITYHALL-LEX-4/5/6,411,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",622
2/1/21,Manhattan,Elevator,EL149,4,3,1,0,254,0.9875,110.6,112,1,112,112,0.976215278,656.0166667,672,INWOOD-207ST-8AV-A,143,Inwood-207 St - Station,143
2/1/21,Manhattan,Elevator,EL299,2,1,1,0,50,0.985119048,110.3333333,112,0.964285714,108,112,0.960987103,645.7833333,672,23ST-LEX-6,405,23 St - Station,405
2/1/21,Brooklyn,Elevator,EL701,3,1,2,0,184,1,112,112,0.94047619,105.3333333,112,0.964310516,648.0166667,672,CONEYISLAND-STILLWELLAV-SEA-D/F/N/Q,58,Coney Island-Stillwell Av - Station,58
2/1/21,Queens,Elevator,EL421,3,3,0,0,181,0.998809524,111.8666667,112,1,112,112,0.979141865,657.9833333,672,JACKSONHTS-ROOSEVELTAV-QBL-E/F/M/R,267,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",616
2/1/21,Brooklyn,Elevator,EL340,0,0,0,0,256,,0,0,,0,0,,0,0,FRANKLINAV-8AV-C,178,"Franklin Av (C,S)",627
2/1/21,Manhattan,Elevator,EL22X,0,0,0,0,N/A,1,112,112,1,112,112,1,672,672,CORTLANDTST-BWY-R,21,"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt St (R, W)",624
2/1/21,Brooklyn,Elevator,EL392,3,1,2,1,196,1,112,112,0.96547619,108.1333333,112,0.975992063,655.8666667,672,MARCYAV-JAM-J/M/Z,101,Marcy Av - Station,101
2/1/21,Manhattan,Elevator,EL710,9,3,6,1,163,0.96577381,108.1666667,112,0.920982143,103.15,112,0.936235119,629.15,672,BOWLINGGREEN-LEX-4/5,414,Bowling Green - Station,414
2/1/21,Manhattan,Elevator,EL236,1,1,0,0,143,1,112,112,1,112,112,0.99233631,666.85,672,47-50STS-ROCKEFELLERCTR-6AV-B/D/F/M,225,47-50 Sts-Rockefeller Ctr - Station,225
2/1/21,Manhattan,Elevator,EL743,1,1,0,0,5,0.99047619,110.9333333,112,1,112,112,0.992708333,667.1,672,CHAMBERSST-JAM-J/Z,105,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",622
2/1/21,Manhattan,Elevator,EL278,2,2,0,0,136,1,112,112,1,112,112,0.988616071,664.35,672,59ST-COLUMBUSCIRCLE-8AV-A/B/C/D,161,"59 St-Columbus Circle (A,B,C,D,1)",614
2/1/21,Brooklyn,Elevator,EL397,1,1,0,0,156,1,112,112,1,112,112,0.991170635,666.0666667,672,MYRTLE-WYCKOFFAVS-CNR-L,128,"Myrtle-Wyckoff Avs (L,M)",630
2/1/21,Manhattan,Elevator,EL713,1,1,0,0,29,1,112,112,1,112,112,0.995535714,669,672,CORTLANDTST-7AV-1,328,Cortlandt St - Station,328
2/1/21,Brooklyn,Elevator,EL307,2,1,1,1,204,1,112,112,1,112,112,0.988963294,664.5833333,672,ATLANTICAV-BARCLAYSCTR-BWY-B/Q,40,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",617
2/1/21,Queens,Elevator,EL494X,0,0,0,0,N/A,1,112,112,1,112,112,1,672,672,HOWARDBEACH-JFKAIRPORT-RKY-A,198,Howard Beach-JFK Airport - Station,198
2/1/21,Queens,Elevator,EL420,2,2,0,0,181,1,112,112,1,112,112,0.983655754,661.0166667,672,74ST-BROADWAY-FLS-7,454,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",616
2/1/21,Brooklyn,Elevator,EL327X,0,0,0,0,N/A,0.672619048,75.33333333,112,0.675595238,75.66666667,112,0.668874008,449.4833333,672,JAYST-METROTECH-BWY-R,25,"Jay St-MetroTech (A,C,F,R)",636
2/1/21,Manhattan,Elevator,EL742,3,2,1,1,5,1,112,112,1,112,112,0.97953869,658.25,672,CHAMBERSST-JAM-J/Z,105,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",622
